"lon","lat","author_country"
-63.616672,-38.416097,"Argentina"
9.501785,56.26392,"Denmark"
-95.712891,37.09024,"United States"
5.291266,52.132633,"Netherlands"
8.227512,46.818188,"Switzerland"
10.451526,51.165691,"Germany"
-3.435973,55.378051,"United Kingdom"
4.469936,50.503887,"Belgium"
2.213749,46.227638,"France"
24.96676,45.943161,"Romania"
-3.74922,40.463667,"Spain"
25.748151,61.92411,"Finland"
19.145136,51.919438,"Poland"
-80.782127,8.537981,"Panama"
18.643501,60.128161,"Sweden"
-51.92528,-14.235004,"Brazil"
34.851612,31.046051,"Israel"
-106.346771,56.130366,"Canada"
22.937506,-30.559482,"South Africa"
133.775136,-25.274398,"Australia"
120.960515,23.69781,"Taiwan"
104.195397,35.86166,"China"
78.96288,20.593684,"India"
-102.552784,23.634501,"Mexico"
-71.542969,-35.675147,"Chile"
138.252924,36.204824,"Japan"
-8.224454,39.399872,"Portugal"
174.885971,-40.900557,"New Zealand"
8.468946,60.472024,"Norway"
-53.125782,3.933889,"French Guiana"
114.109497,22.396428,"Hong Kong"
12.56738,41.87194,"Italy"
14.550072,47.516231,"Austria"
-7.09262,31.791702,"Morocco"
105.318756,61.52401,"Russian Federation"
-75.015152,-9.189967,"Peru"
12.354722,7.369722,"Cameroon"
-61.024174,14.641528,"Martinique"
-8.24389,53.41291,"Ireland"
44.827096,41.7151377,"Tbilisi"
25.013607,58.595272,"Estonia"
-63.588653,-16.290154,"Bolivia"
15.472962,49.817492,"Czech Republic"
101.975766,4.210484,"Malaysia"
19.503304,47.162494,"Hungary"
127.9784585,37.6639976,"Korea"
-83.753428,9.748917,"Costa Rica"
18.49041,-22.95764,"Namibia"
45.079162,23.885942,"Saudi Arabia"
35.243322,38.963745,"Turkey"
31.465866,-26.522503,"Swaziland"
21.824312,39.074208,"Greece"
23.881275,55.169438,"Lithuania"
-74.297333,4.570868,"Colombia"
14.995463,46.151241,"Slovenia"
31.16558,48.379433,"Ukraine"
114.727669,4.535277,"Brunei Darussalam"
103.819836,1.352083,"Singapore"
6.129583,49.815273,"Luxembourg"
113.921327,-0.789275,"Indonesia"
8.675277,9.081999,"Nigeria"
80.771797,7.873054,"Sri Lanka"
30.802498,26.820553,"Egypt"
51.183884,25.354826,"Qatar"
53.688046,32.427908,"Iran"
165.618042,-20.904305,"New Caledonia"
-74.297333,4.570868,"Columbia"
15.2,45.1,"Croatia"
-61.222503,10.691803,"Trinidad and Tobago"
-55.765835,-32.522779,"Uruguay"
108.277199,14.058324,"VietNam"
-78.183406,-1.831239,"Ecuador"
100.992541,15.870032,"Thailand"
-19.020835,64.963051,"Iceland"
23.670272,77.553604,"Svalbard and Jan Mayen"
-1.561593,12.238333,"Burkina Faso"
53.847818,23.424076,"United Arab Emirates"
121.774017,12.879721,"Philippines"
-66.590149,18.220833,"Puerto Rico"
178.065032,-17.713371,"Fiji"
21.758664,-4.038333,"Democratic Republic of Congo"
34.888822,-6.369028,"Tanzania"
19.699024,48.669026,"Slovakia"
46.869107,-18.766947,"Madagascar"
-81.2546,19.3133,"Cayman Islands"
45.038189,40.069099,"Armenia"
21.005859,44.016521,"Serbia"
37.906193,-0.023559,"Kenya"
-66.58973,6.42375,"Venezuela"
47.481766,29.31166,"Kuwait"
-77.297508,18.109581,"Jamaica"
40.489673,9.145,"Ethiopia"
-1.023194,7.946527,"Ghana"
7.4246158,43.7384176,"Monaco"
1.659626,28.033886,"Algeria"
24.603189,56.879635,"Latvia"
32.290275,1.373333,"Uganda"
90.356331,23.684994,"Bangladesh"
27.849332,-13.133897,"Zambia"
29.873888,-1.940278,"Rwanda"
